1.250000
	
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	AUC	AUC	AUC	AUC	AUC
heart.mat	QSMOTE	0.656556	0.768167	0.808222	0.815361	0.813111
heart.mat	B-SMOTE	0.651944	0.770194	0.800000	0.816806	0.807472
heart.mat	ADAYSN	0.630833	0.747500	0.829167	0.820833	0.820000
heart.mat	MSMOTE	0.674639	0.775389	0.808694	0.824083	0.818528
heart.mat	MWMOTE	0.668250	0.762444	0.806056	0.819389	0.817694
heart.mat	SMOTE	0.650583	0.766611	0.791806	0.820472	0.798111
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	average	average	average	average	average
heart.mat	QSMOTE	0.654198	0.769753	0.811235	0.818642	0.817654
heart.mat	B-SMOTE	0.635679	0.770247	0.799630	0.816790	0.806667
heart.mat	ADAYSN	0.648148	0.755556	0.833333	0.825926	0.825926
heart.mat	MSMOTE	0.668642	0.776049	0.810370	0.826420	0.819506
heart.mat	MWMOTE	0.661852	0.765185	0.807407	0.821975	0.819383
heart.mat	SMOTE	0.629506	0.766173	0.789877	0.821235	0.795556
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	TP	TP	TP	TP	TP
heart.mat	QSMOTE	0.677778	0.753889	0.781111	0.785833	0.772222
heart.mat	B-SMOTE	0.798333	0.769722	0.803333	0.816944	0.814722
heart.mat	ADAYSN	0.475000	0.675000	0.791667	0.775000	0.766667
heart.mat	MSMOTE	0.728611	0.769444	0.793611	0.803056	0.809722
heart.mat	MWMOTE	0.725833	0.737778	0.793889	0.796111	0.802500
heart.mat	SMOTE	0.840278	0.770556	0.809167	0.813611	0.821111
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	FP	FP	FP	FP	FP
heart.mat	QSMOTE	0.364667	0.217556	0.164667	0.155111	0.146000
heart.mat	B-SMOTE	0.494444	0.229333	0.203333	0.183333	0.199778
heart.mat	ADAYSN	0.213333	0.180000	0.133333	0.133333	0.126667
heart.mat	MSMOTE	0.379333	0.218667	0.176222	0.154889	0.172667
heart.mat	MWMOTE	0.389333	0.212889	0.181778	0.157333	0.167111
heart.mat	SMOTE	0.539111	0.237333	0.225556	0.172667	0.224889
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	Precision	Precision	Precision	Precision	Precision
heart.mat	QSMOTE	0.598354	0.735560	0.794443	0.807459	0.811424
heart.mat	B-SMOTE	0.563262	0.728353	0.761151	0.789658	0.768209
heart.mat	ADAYSN	0.638725	0.748593	0.828194	0.827442	0.830980
heart.mat	MSMOTE	0.604654	0.739386	0.786867	0.814424	0.791057
heart.mat	MWMOTE	0.598723	0.735693	0.779647	0.810097	0.796897
heart.mat	SMOTE	0.554548	0.724951	0.744765	0.797246	0.748339
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	G_mean	G_mean	G_mean	G_mean	G_mean
heart.mat	QSMOTE	0.651416	0.767157	0.806867	0.814070	0.810793
heart.mat	B-SMOTE	0.634140	0.768147	0.799382	0.815139	0.806956
heart.mat	ADAYSN	0.609855	0.743264	0.827519	0.819158	0.817269
heart.mat	MSMOTE	0.670461	0.774591	0.807851	0.822198	0.818267
heart.mat	MWMOTE	0.664140	0.760243	0.805154	0.817752	0.816892
heart.mat	SMOTE	0.621035	0.765428	0.790732	0.819065	0.797022
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	F_measure	F_measure	F_measure	F_measure	F_measure
heart.mat	QSMOTE	0.632200	0.743488	0.786180	0.795122	0.789119
heart.mat	B-SMOTE	0.659894	0.746099	0.780791	0.800491	0.790013
heart.mat	ADAYSN	0.543608	0.709190	0.808162	0.799378	0.795854
heart.mat	MSMOTE	0.659360	0.753204	0.788917	0.805672	0.799890
heart.mat	MWMOTE	0.654989	0.734551	0.785441	0.800694	0.798573
heart.mat	SMOTE	0.667597	0.745660	0.774420	0.803143	0.781962
